video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000024000000.mp4,3,car,2,0.3,40.0
ch01_00000000024000000.mp4,13,car,2,1.75,45.0
ch01_00000000024000000.mp4,18,motorcycle,1,1.9,45.0
ch01_00000000024000000.mp4,38,car,2,3.55,51.4
ch01_00000000024000000.mp4,44,motorcycle,1,3.7,45.0
ch01_00000000024000000.mp4,19,motorcycle,1,6.65,30.0
ch01_00000000024000000.mp4,33,car,2,7.2,45.0
ch01_00000000024000000.mp4,89,motorcycle,1,8.499,32.7
ch01_00000000024000000.mp4,95,motorcycle,1,8.999,36.0
ch01_00000000024000000.mp4,112,motorcycle,1,9.149,45.0
ch01_00000000024000000.mp4,138,motorcycle,1,10.499,32.7
ch01_00000000024000000.mp4,175,car,2,11.949,32.7
ch01_00000000024000000.mp4,194,motorcycle,1,12.399,60.0
ch01_00000000024000000.mp4,225,car,2,12.849,45.0
ch01_00000000024000000.mp4,212,car,2,13.649,32.7
ch01_00000000024000000.mp4,253,motorcycle,1,14.499,36.0
ch01_00000000024000000.mp4,271,motorcycle,1,15.049,40.0
ch01_00000000024000000.mp4,290,car,2,15.499,51.4
ch01_00000000024000000.mp4,329,car,2,16.999,51.4
ch01_00000000024000000.mp4,344,motorcycle,1,17.849,51.4
ch01_00000000024000000.mp4,382,car,2,18.199,60.0
ch01_00000000024000000.mp4,426,car,2,20.099,45.0
ch01_00000000024000000.mp4,439,motorcycle,1,20.499,45.0
ch01_00000000024000000.mp4,472,motorcycle,1,21.199,51.4
ch01_00000000024000000.mp4,479,motorcycle,1,21.299,51.4
ch01_00000000024000000.mp4,505,motorcycle,1,22.349,51.4
ch01_00000000024000000.mp4,514,motorcycle,1,22.699,45.0
ch01_00000000024000000.mp4,547,motorcycle,1,24.849,40.0
ch01_00000000024000000.mp4,570,motorcycle,1,25.599,60.0
ch01_00000000024000000.mp4,586,car,2,26.698,45.0
ch01_00000000024000000.mp4,619,motorcycle,1,27.248,51.4
ch01_00000000024000000.mp4,620,motorcycle,1,27.948,36.0
ch01_00000000024000000.mp4,654,car,2,28.748,45.0
ch01_00000000024000000.mp4,800013,motorcycle,1,31.648,30.0
ch01_00000000024000000.mp4,762,motorcycle,1,32.448,45.0
ch01_00000000024000000.mp4,830,motorcycle,1,34.798,60.0
ch01_00000000024000000.mp4,836,motorcycle,1,35.748,45.0
ch01_00000000024000000.mp4,890,motorcycle,1,40.298,32.7
ch01_00000000024000000.mp4,800018,motorcycle,1,41.098,30.0
ch01_00000000024000000.mp4,1016,car,2,44.248,60.0
ch01_00000000024000000.mp4,1078,car,2,46.497,36.0
ch01_00000000024000000.mp4,1083,car,2,47.347,27.7
ch01_00000000024000000.mp4,1129,motorcycle,1,48.447,32.7
ch01_00000000024000000.mp4,1250,motorcycle,1,51.697,36.0
ch01_00000000024000000.mp4,1364,motorcycle,1,56.697,51.4
ch01_00000000024000000.mp4,1394,car,2,58.247,45.0
ch01_00000000024000000.mp4,1449,car,2,60.697,45.0
ch01_00000000024000000.mp4,1575,motorcycle,1,64.646,27.7
ch01_00000000024000000.mp4,1581,motorcycle,1,64.796,36.0
ch01_00000000024000000.mp4,1625,car,2,66.196,40.0
ch01_00000000024000000.mp4,1702,motorcycle,1,68.646,60.0
ch01_00000000024000000.mp4,1705,car,2,69.246,45.0
ch01_00000000024000000.mp4,1766,car,3,72.796,30.0
ch01_00000000024000000.mp4,1820,car,3,75.046,36.0
ch01_00000000024000000.mp4,1851,car,2,76.096,40.0
ch01_00000000024000000.mp4,1859,car,3,76.946,36.0
ch01_00000000024000000.mp4,1923,car,2,78.546,51.4
ch01_00000000024000000.mp4,1973,car,2,80.945,51.4
ch01_00000000024000000.mp4,1994,car,2,82.645,51.4
ch01_00000000024000000.mp4,2080,motorcycle,1,85.045,40.0
ch01_00000000024000000.mp4,2098,car,3,86.945,60.0
ch01_00000000024000000.mp4,2115,motorcycle,1,87.695,51.4
ch01_00000000024000000.mp4,2154,motorcycle,1,90.345,30.0
ch01_00000000024000000.mp4,2184,car,2,91.445,51.4
ch01_00000000024000000.mp4,2212,car,2,92.695,51.4
ch01_00000000024000000.mp4,2200,car,2,92.845,25.7
ch01_00000000024000000.mp4,2238,motorcycle,1,93.795,21.2
ch01_00000000024000000.mp4,2275,motorcycle,1,94.295,45.0
ch01_00000000024000000.mp4,2273,car,2,94.895,45.0
ch01_00000000024000000.mp4,2345,motorcycle,1,96.295,51.4
ch01_00000000024000000.mp4,2384,car,3,99.394,20.0
ch01_00000000024000000.mp4,2429,motorcycle,1,100.294,22.5
ch01_00000000024000000.mp4,2473,motorcycle,1,100.694,40.0
ch01_00000000024000000.mp4,2492,motorcycle,1,102.044,40.0
ch01_00000000024000000.mp4,2499,car,3,102.794,40.0
ch01_00000000024000000.mp4,2516,car,2,103.544,30.0
ch01_00000000024000000.mp4,2579,motorcycle,1,105.094,51.4
ch01_00000000024000000.mp4,2646,car,2,108.644,40.0
ch01_00000000024000000.mp4,2655,car,3,109.194,45.0
ch01_00000000024000000.mp4,2695,motorcycle,1,109.794,45.0
ch01_00000000024000000.mp4,2717,car,2,111.394,60.0
ch01_00000000024000000.mp4,2756,motorcycle,1,111.744,51.4
ch01_00000000024000000.mp4,2766,car,3,112.844,36.0
ch01_00000000024000000.mp4,2806,car,2,114.194,45.0
ch01_00000000024000000.mp4,2858,car,3,115.194,45.0
ch01_00000000024000000.mp4,2871,car,2,115.394,32.7
ch01_00000000024000000.mp4,2895,car,2,116.544,32.7
ch01_00000000024000000.mp4,800052,motorcycle,1,116.544,60.0
ch01_00000000024000000.mp4,2959,motorcycle,1,117.493,45.0
ch01_00000000024000000.mp4,2946,car,2,118.094,32.7
ch01_00000000024000000.mp4,2954,motorcycle,1,118.843,45.0
ch01_00000000024000000.mp4,2994,car,2,119.293,36.0
ch01_00000000024000000.mp4,3005,motorcycle,1,119.843,40.0
ch01_00000000024000000.mp4,3038,car,2,120.593,40.0
ch01_00000000024000000.mp4,3054,car,3,121.593,36.0
ch01_00000000024000000.mp4,3127,motorcycle,1,122.443,51.4
ch01_00000000024000000.mp4,3126,car,2,123.393,36.0
ch01_00000000024000000.mp4,3157,motorcycle,1,123.493,45.0
ch01_00000000024000000.mp4,3160,truck,4,124.093,40.0
ch01_00000000024000000.mp4,3207,car,2,125.143,36.0
ch01_00000000024000000.mp4,3278,car,2,126.843,36.0
ch01_00000000024000000.mp4,3291,car,3,127.993,32.7
ch01_00000000024000000.mp4,3340,car,2,129.243,45.0
ch01_00000000024000000.mp4,3358,car,2,129.293,32.7
ch01_00000000024000000.mp4,3376,car,2,130.443,45.0
ch01_00000000024000000.mp4,3424,motorcycle,1,131.543,51.4
ch01_00000000024000000.mp4,3435,truck,6,132.143,40.0
ch01_00000000024000000.mp4,3475,car,2,132.693,45.0
ch01_00000000024000000.mp4,3485,car,2,133.493,36.0
ch01_00000000024000000.mp4,3539,motorcycle,1,133.993,45.0
ch01_00000000024000000.mp4,3573,motorcycle,1,135.593,45.0
ch01_00000000024000000.mp4,3646,motorcycle,1,137.192,60.0
ch01_00000000024000000.mp4,3644,car,2,138.092,40.0
ch01_00000000024000000.mp4,800067,motorcycle,1,138.142,24.0
ch01_00000000024000000.mp4,3695,motorcycle,1,138.842,45.0
ch01_00000000024000000.mp4,3715,motorcycle,1,139.492,45.0
ch01_00000000024000000.mp4,3822,car,2,144.192,51.4
ch01_00000000024000000.mp4,3850,car,2,145.142,45.0
ch01_00000000024000000.mp4,3900,car,2,147.342,32.7
ch01_00000000024000000.mp4,3941,motorcycle,1,147.642,45.0
ch01_00000000024000000.mp4,3985,motorcycle,1,148.892,45.0
ch01_00000000024000000.mp4,3989,motorcycle,1,149.042,45.0
ch01_00000000024000000.mp4,800072,motorcycle,1,149.542,30.0
ch01_00000000024000000.mp4,3986,car,2,150.192,25.7
ch01_00000000024000000.mp4,800070,motorcycle,1,150.892,40.0
ch01_00000000024000000.mp4,4080,motorcycle,1,151.492,36.0
ch01_00000000024000000.mp4,4102,motorcycle,1,151.742,51.4
ch01_00000000024000000.mp4,4132,car,2,153.242,40.0
ch01_00000000024000000.mp4,4179,motorcycle,1,154.742,30.0
ch01_00000000024000000.mp4,4209,motorcycle,1,154.891,40.0
ch01_00000000024000000.mp4,4243,motorcycle,1,155.691,51.4
ch01_00000000024000000.mp4,800075,motorcycle,1,156.141,15.0
ch01_00000000024000000.mp4,4251,motorcycle,1,156.491,40.0
ch01_00000000024000000.mp4,4309,car,2,158.191,45.0
ch01_00000000024000000.mp4,4313,motorcycle,1,158.391,40.0
ch01_00000000024000000.mp4,4359,motorcycle,1,159.141,40.0
ch01_00000000024000000.mp4,4373,motorcycle,1,159.591,45.0
ch01_00000000024000000.mp4,4387,car,2,160.741,40.0
ch01_00000000024000000.mp4,4410,motorcycle,1,161.191,40.0
ch01_00000000024000000.mp4,4475,motorcycle,1,162.441,45.0
ch01_00000000024000000.mp4,4463,car,2,162.691,36.0
ch01_00000000024000000.mp4,4489,truck,6,163.441,40.0
ch01_00000000024000000.mp4,4541,motorcycle,1,165.041,45.0
ch01_00000000024000000.mp4,4571,car,2,166.141,32.7
ch01_00000000024000000.mp4,4613,car,2,166.941,32.7
ch01_00000000024000000.mp4,800079,motorcycle,1,167.091,30.0
ch01_00000000024000000.mp4,4688,motorcycle,1,168.041,36.0
ch01_00000000024000000.mp4,4720,car,3,169.641,45.0
ch01_00000000024000000.mp4,4780,car,2,172.391,51.4
ch01_00000000024000000.mp4,4782,motorcycle,1,172.49,10.9
ch01_00000000024000000.mp4,4865,car,2,175.49,40.0
ch01_00000000024000000.mp4,4966,motorcycle,1,178.29,36.0
ch01_00000000024000000.mp4,5061,car,2,179.99,51.4
ch01_00000000024000000.mp4,5105,motorcycle,1,181.54,32.7
ch01_00000000024000000.mp4,5146,car,2,183.14,51.4
ch01_00000000024000000.mp4,5222,motorcycle,1,184.54,51.4
ch01_00000000024000000.mp4,5236,car,2,185.34,51.4
ch01_00000000024000000.mp4,5307,truck,6,187.79,27.7
ch01_00000000024000000.mp4,5367,car,2,188.64,60.0
ch01_00000000024000000.mp4,5387,truck,4,189.94,30.0
ch01_00000000024000000.mp4,5454,motorcycle,1,191.389,40.0
ch01_00000000024000000.mp4,5447,car,2,192.039,27.7
ch01_00000000024000000.mp4,5495,motorcycle,1,192.589,36.0
ch01_00000000024000000.mp4,800089,motorcycle,1,193.339,120.0
ch01_00000000024000000.mp4,5520,motorcycle,1,193.689,30.0
ch01_00000000024000000.mp4,5622,motorcycle,1,195.239,45.0
ch01_00000000024000000.mp4,5640,motorcycle,1,196.689,36.0
ch01_00000000024000000.mp4,5663,motorcycle,1,196.889,36.0
ch01_00000000024000000.mp4,5718,motorcycle,1,199.489,45.0
ch01_00000000024000000.mp4,5848,car,3,204.089,72.0
ch01_00000000024000000.mp4,5891,car,3,204.839,45.0
ch01_00000000024000000.mp4,5970,car,2,207.939,72.0
ch01_00000000024000000.mp4,800096,motorcycle,1,208.339,60.0
ch01_00000000024000000.mp4,6047,car,2,210.888,45.0
ch01_00000000024000000.mp4,6212,car,2,215.588,72.0
ch01_00000000024000000.mp4,6259,motorcycle,1,217.288,51.4
ch01_00000000024000000.mp4,6366,motorcycle,1,220.638,45.0
ch01_00000000024000000.mp4,6562,motorcycle,1,227.387,60.0
ch01_00000000024000000.mp4,800104,motorcycle,1,227.687,60.0
ch01_00000000024000000.mp4,6768,car,2,233.487,51.4
ch01_00000000024000000.mp4,6784,motorcycle,1,233.737,45.0
ch01_00000000024000000.mp4,6795,car,2,235.137,36.0
ch01_00000000024000000.mp4,6813,car,2,235.887,51.4
ch01_00000000024000000.mp4,6823,motorcycle,1,236.487,51.4
ch01_00000000024000000.mp4,6841,motorcycle,1,236.687,45.0
ch01_00000000024000000.mp4,6839,car,2,237.287,40.0
ch01_00000000024000000.mp4,6865,car,2,238.287,45.0
ch01_00000000024000000.mp4,6899,motorcycle,1,238.387,51.4
ch01_00000000024000000.mp4,6953,motorcycle,1,239.837,40.0
ch01_00000000024000000.mp4,6935,car,2,240.037,40.0
ch01_00000000024000000.mp4,6983,motorcycle,1,241.887,30.0
ch01_00000000024000000.mp4,7013,motorcycle,1,242.237,40.0
ch01_00000000024000000.mp4,7048,motorcycle,1,242.537,45.0
ch01_00000000024000000.mp4,7095,motorcycle,1,243.087,45.0
ch01_00000000024000000.mp4,7146,motorcycle,1,244.137,60.0
ch01_00000000024000000.mp4,7135,truck,6,244.686,45.0
ch01_00000000024000000.mp4,7158,motorcycle,1,245.486,36.0
ch01_00000000024000000.mp4,7216,motorcycle,1,246.386,32.7
ch01_00000000024000000.mp4,7231,car,2,247.436,51.4
ch01_00000000024000000.mp4,800111,motorcycle,1,249.286,40.0
ch01_00000000024000000.mp4,7322,motorcycle,1,249.486,51.4
ch01_00000000024000000.mp4,800114,motorcycle,1,249.886,10.9
ch01_00000000024000000.mp4,7345,motorcycle,1,250.086,51.4
ch01_00000000024000000.mp4,7393,car,2,251.986,51.4
ch01_00000000024000000.mp4,7402,motorcycle,1,252.436,51.4
ch01_00000000024000000.mp4,7422,motorcycle,1,253.286,51.4
ch01_00000000024000000.mp4,7476,motorcycle,1,255.136,45.0
ch01_00000000024000000.mp4,7507,car,2,256.586,51.4
ch01_00000000024000000.mp4,7557,motorcycle,1,257.286,60.0
ch01_00000000024000000.mp4,7564,car,2,258.086,45.0
ch01_00000000024000000.mp4,7593,motorcycle,1,258.436,51.4
ch01_00000000024000000.mp4,7607,car,2,259.286,51.4
ch01_00000000024000000.mp4,7687,car,2,262.586,60.0
ch01_00000000024000000.mp4,7715,car,2,262.685,45.0
ch01_00000000024000000.mp4,7742,motorcycle,1,263.185,51.4
ch01_00000000024000000.mp4,7783,car,2,265.535,45.0
ch01_00000000024000000.mp4,7853,motorcycle,1,267.035,51.4
ch01_00000000024000000.mp4,7843,car,3,267.185,45.0
ch01_00000000024000000.mp4,7885,motorcycle,1,267.785,60.0
ch01_00000000024000000.mp4,7908,motorcycle,1,268.735,51.4
ch01_00000000024000000.mp4,7944,car,2,269.935,60.0
ch01_00000000024000000.mp4,7977,motorcycle,1,271.635,60.0
ch01_00000000024000000.mp4,7998,car,2,272.235,51.4
ch01_00000000024000000.mp4,8051,motorcycle,1,273.635,60.0
ch01_00000000024000000.mp4,8064,car,2,274.685,45.0
ch01_00000000024000000.mp4,8115,motorcycle,1,275.735,40.0
ch01_00000000024000000.mp4,800128,motorcycle,1,276.135,15.0
ch01_00000000024000000.mp4,8146,motorcycle,1,277.335,45.0
ch01_00000000024000000.mp4,8223,motorcycle,1,279.185,45.0
ch01_00000000024000000.mp4,8265,motorcycle,1,279.835,40.0
ch01_00000000024000000.mp4,8253,car,2,280.034,40.0
ch01_00000000024000000.mp4,8295,car,2,281.784,40.0
ch01_00000000024000000.mp4,8317,car,2,282.534,45.0
ch01_00000000024000000.mp4,8333,motorcycle,1,282.534,45.0
ch01_00000000024000000.mp4,800137,motorcycle,1,284.084,120.0
ch01_00000000024000000.mp4,8340,car,3,284.184,30.0
ch01_00000000024000000.mp4,8366,motorcycle,1,284.734,32.7
ch01_00000000024000000.mp4,8368,motorcycle,1,284.934,30.0
ch01_00000000024000000.mp4,8377,motorcycle,1,284.984,30.0
ch01_00000000024000000.mp4,8376,car,2,285.484,32.7
ch01_00000000024000000.mp4,8385,car,2,286.134,30.0
ch01_00000000024000000.mp4,8420,motorcycle,1,286.284,40.0
ch01_00000000024000000.mp4,8426,motorcycle,1,286.634,36.0
ch01_00000000024000000.mp4,8409,car,2,287.484,36.0
ch01_00000000024000000.mp4,8484,motorcycle,1,287.684,30.0
ch01_00000000024000000.mp4,8491,car,2,288.884,40.0
ch01_00000000024000000.mp4,8550,car,2,290.884,32.7
ch01_00000000024000000.mp4,8581,car,2,292.034,40.0
ch01_00000000024000000.mp4,8629,motorcycle,1,293.084,51.4
ch01_00000000024000000.mp4,8623,car,2,293.384,40.0
ch01_00000000024000000.mp4,8665,motorcycle,1,294.934,45.0
ch01_00000000024000000.mp4,8674,car,2,295.084,45.0
ch01_00000000024000000.mp4,8742,car,2,296.484,45.0
ch01_00000000024000000.mp4,8770,motorcycle,1,297.534,45.0
ch01_00000000024000000.mp4,8775,car,2,297.784,45.0
ch01_00000000024000000.mp4,8804,car,2,298.584,51.4
ch01_00000000024000000.mp4,8862,motorcycle,1,299.933,45.0
ch01_00000000024000000.mp4,8860,car,2,300.033,45.0
ch01_00000000024000000.mp4,8928,car,2,301.683,45.0
ch01_00000000024000000.mp4,8957,motorcycle,1,302.683,45.0
ch01_00000000024000000.mp4,8950,motorcycle,1,302.833,40.0
ch01_00000000024000000.mp4,9057,motorcycle,1,305.483,72.0
ch01_00000000024000000.mp4,9094,car,2,307.683,40.0
ch01_00000000024000000.mp4,9119,motorcycle,1,308.233,60.0
ch01_00000000024000000.mp4,9136,motorcycle,1,308.583,51.4
ch01_00000000024000000.mp4,9286,car,2,313.083,45.0
ch01_00000000024000000.mp4,9351,car,2,314.283,51.4
ch01_00000000024000000.mp4,9386,car,3,315.333,51.4
ch01_00000000024000000.mp4,9409,car,2,316.483,32.7
ch01_00000000024000000.mp4,9488,motorcycle,1,316.983,60.0
ch01_00000000024000000.mp4,9477,motorcycle,1,317.332,60.0
ch01_00000000024000000.mp4,9569,car,3,319.132,45.0
ch01_00000000024000000.mp4,9577,motorcycle,1,319.182,51.4
ch01_00000000024000000.mp4,9617,motorcycle,1,319.732,72.0
ch01_00000000024000000.mp4,9629,motorcycle,1,320.182,60.0
ch01_00000000024000000.mp4,9640,car,2,320.782,45.0
ch01_00000000024000000.mp4,9757,motorcycle,1,322.782,51.4
ch01_00000000024000000.mp4,9758,truck,6,323.432,45.0
ch01_00000000024000000.mp4,9726,car,3,324.432,32.7
ch01_00000000024000000.mp4,9802,car,2,325.482,36.0
ch01_00000000024000000.mp4,9842,car,2,326.282,40.0
ch01_00000000024000000.mp4,9881,car,2,327.882,40.0
ch01_00000000024000000.mp4,800158,motorcycle,1,328.482,60.0
ch01_00000000024000000.mp4,9945,motorcycle,1,329.882,51.4
ch01_00000000024000000.mp4,800159,motorcycle,1,330.582,30.0
ch01_00000000024000000.mp4,9961,motorcycle,1,330.732,60.0
ch01_00000000024000000.mp4,9992,car,3,333.532,18.9
ch01_00000000024000000.mp4,10078,car,2,334.082,60.0
ch01_00000000024000000.mp4,10167,motorcycle,1,336.131,72.0
ch01_00000000024000000.mp4,10182,car,3,337.881,40.0
ch01_00000000024000000.mp4,10239,motorcycle,1,339.381,40.0
ch01_00000000024000000.mp4,800165,motorcycle,1,339.731,120.0
ch01_00000000024000000.mp4,10273,motorcycle,1,340.081,40.0
ch01_00000000024000000.mp4,10310,car,2,340.331,45.0
ch01_00000000024000000.mp4,10339,motorcycle,1,340.531,36.0
ch01_00000000024000000.mp4,10330,motorcycle,1,341.081,51.4
ch01_00000000024000000.mp4,10351,motorcycle,1,341.131,36.0
ch01_00000000024000000.mp4,10378,motorcycle,1,342.281,40.0
ch01_00000000024000000.mp4,10423,motorcycle,1,343.481,60.0
ch01_00000000024000000.mp4,10453,motorcycle,1,344.081,30.0
ch01_00000000024000000.mp4,10456,motorcycle,1,344.731,51.4
ch01_00000000024000000.mp4,10473,motorcycle,1,345.081,51.4
ch01_00000000024000000.mp4,10490,motorcycle,1,345.481,51.4
ch01_00000000024000000.mp4,10509,car,2,346.281,51.4
ch01_00000000024000000.mp4,10418,motorcycle,1,346.931,51.4
ch01_00000000024000000.mp4,10521,car,2,347.231,51.4
ch01_00000000024000000.mp4,10587,motorcycle,1,347.681,60.0
ch01_00000000024000000.mp4,10606,car,2,348.581,60.0
ch01_00000000024000000.mp4,10620,motorcycle,1,348.781,60.0
ch01_00000000024000000.mp4,10677,car,2,351.431,45.0
ch01_00000000024000000.mp4,10689,car,2,353.33,20.0
ch01_00000000024000000.mp4,10741,motorcycle,1,353.93,30.0
ch01_00000000024000000.mp4,10788,motorcycle,1,354.73,30.0
ch01_00000000024000000.mp4,10829,car,3,355.33,51.4
ch01_00000000024000000.mp4,10857,motorcycle,1,355.93,45.0
ch01_00000000024000000.mp4,10893,car,3,356.58,51.4
ch01_00000000024000000.mp4,10879,motorcycle,1,356.68,40.0
ch01_00000000024000000.mp4,10984,motorcycle,1,358.53,51.4
ch01_00000000024000000.mp4,10950,motorcycle,1,358.63,40.0
ch01_00000000024000000.mp4,10970,car,2,358.73,51.4
ch01_00000000024000000.mp4,11132,car,2,365.23,51.4
ch01_00000000024000000.mp4,11185,car,2,366.23,60.0
ch01_00000000024000000.mp4,11214,car,2,366.98,60.0
ch01_00000000024000000.mp4,11224,car,2,367.53,51.4
ch01_00000000024000000.mp4,11245,car,3,368.18,60.0
ch01_00000000024000000.mp4,11259,motorcycle,1,368.28,51.4
ch01_00000000024000000.mp4,11280,car,2,368.98,51.4
ch01_00000000024000000.mp4,11363,motorcycle,1,370.63,60.0
ch01_00000000024000000.mp4,11388,motorcycle,1,371.43,51.4
ch01_00000000024000000.mp4,11402,car,2,372.329,51.4
ch01_00000000024000000.mp4,11340,motorcycle,1,372.779,45.0
ch01_00000000024000000.mp4,11449,motorcycle,1,373.079,51.4
ch01_00000000024000000.mp4,11463,motorcycle,1,373.429,51.4
ch01_00000000024000000.mp4,11519,car,2,375.629,60.0
ch01_00000000024000000.mp4,11565,motorcycle,1,376.529,72.0
ch01_00000000024000000.mp4,11648,motorcycle,1,379.479,60.0
ch01_00000000024000000.mp4,11674,motorcycle,1,379.979,60.0
ch01_00000000024000000.mp4,11684,motorcycle,1,380.479,72.0
ch01_00000000024000000.mp4,11752,motorcycle,1,381.779,72.0
ch01_00000000024000000.mp4,11777,motorcycle,1,381.929,72.0
ch01_00000000024000000.mp4,11788,motorcycle,1,382.679,51.4
ch01_00000000024000000.mp4,11808,car,3,383.079,72.0
ch01_00000000024000000.mp4,11865,car,2,384.479,90.0
ch01_00000000024000000.mp4,11866,motorcycle,1,384.479,51.4
ch01_00000000024000000.mp4,11972,motorcycle,1,386.529,51.4
ch01_00000000024000000.mp4,12087,car,2,390.279,45.0
ch01_00000000024000000.mp4,12099,motorcycle,1,390.678,60.0
ch01_00000000024000000.mp4,12139,motorcycle,1,391.378,72.0
ch01_00000000024000000.mp4,12152,motorcycle,1,391.478,72.0
ch01_00000000024000000.mp4,12172,motorcycle,1,392.778,45.0
ch01_00000000024000000.mp4,12230,car,3,394.328,60.0
ch01_00000000024000000.mp4,12271,motorcycle,1,395.628,51.4
ch01_00000000024000000.mp4,12364,motorcycle,1,398.178,72.0
ch01_00000000024000000.mp4,12363,motorcycle,1,398.678,51.4
ch01_00000000024000000.mp4,12368,car,2,398.728,51.4
ch01_00000000024000000.mp4,12441,motorcycle,1,400.478,72.0
ch01_00000000024000000.mp4,12537,motorcycle,1,403.878,51.4
ch01_00000000024000000.mp4,12611,motorcycle,1,406.128,51.4
ch01_00000000024000000.mp4,12744,car,2,409.477,51.4
ch01_00000000024000000.mp4,12800,motorcycle,1,410.627,60.0
ch01_00000000024000000.mp4,12792,car,2,410.727,51.4
ch01_00000000024000000.mp4,12835,motorcycle,1,411.827,60.0
ch01_00000000024000000.mp4,12832,motorcycle,1,412.077,60.0
ch01_00000000024000000.mp4,12853,car,2,413.277,51.4
ch01_00000000024000000.mp4,12873,motorcycle,1,413.677,51.4
ch01_00000000024000000.mp4,12987,truck,6,417.877,36.0
ch01_00000000024000000.mp4,13065,car,2,420.727,40.0
ch01_00000000024000000.mp4,13101,motorcycle,1,421.027,51.4
ch01_00000000024000000.mp4,13123,car,2,422.427,40.0
ch01_00000000024000000.mp4,13179,motorcycle,1,423.027,45.0
ch01_00000000024000000.mp4,13186,car,2,423.427,51.4
ch01_00000000024000000.mp4,13203,motorcycle,1,424.577,51.4
ch01_00000000024000000.mp4,13212,car,2,424.926,45.0
ch01_00000000024000000.mp4,13231,motorcycle,1,425.877,45.0
ch01_00000000024000000.mp4,13248,motorcycle,1,426.127,45.0
ch01_00000000024000000.mp4,13264,car,2,426.776,51.4
ch01_00000000024000000.mp4,13329,motorcycle,1,428.076,51.4
ch01_00000000024000000.mp4,13306,motorcycle,1,428.476,40.0
ch01_00000000024000000.mp4,13336,motorcycle,1,429.076,45.0
ch01_00000000024000000.mp4,13428,motorcycle,1,431.726,51.4
ch01_00000000024000000.mp4,13501,motorcycle,1,433.326,60.0
ch01_00000000024000000.mp4,13510,motorcycle,1,434.026,60.0
ch01_00000000024000000.mp4,13528,motorcycle,1,434.326,45.0
ch01_00000000024000000.mp4,13569,car,2,436.326,40.0
ch01_00000000024000000.mp4,800216,motorcycle,1,436.776,60.0
ch01_00000000024000000.mp4,13634,motorcycle,1,437.776,51.4
ch01_00000000024000000.mp4,13622,car,3,439.076,45.0
ch01_00000000024000000.mp4,13709,motorcycle,1,439.826,45.0
ch01_00000000024000000.mp4,13787,car,3,442.676,30.0
ch01_00000000024000000.mp4,13820,truck,4,443.026,40.0
ch01_00000000024000000.mp4,13879,car,2,443.976,40.0
ch01_00000000024000000.mp4,13882,motorcycle,1,444.075,36.0
ch01_00000000024000000.mp4,800221,motorcycle,1,444.425,20.0
ch01_00000000024000000.mp4,13922,car,2,445.175,45.0
ch01_00000000024000000.mp4,13953,motorcycle,1,445.275,51.4
ch01_00000000024000000.mp4,13956,motorcycle,1,445.875,40.0
ch01_00000000024000000.mp4,13971,motorcycle,1,446.375,40.0
ch01_00000000024000000.mp4,13993,car,2,447.075,45.0
ch01_00000000024000000.mp4,14010,motorcycle,1,447.575,51.4
ch01_00000000024000000.mp4,14034,motorcycle,1,447.925,60.0
ch01_00000000024000000.mp4,14027,car,2,448.475,40.0
ch01_00000000024000000.mp4,14083,motorcycle,1,448.975,60.0
ch01_00000000024000000.mp4,800223,motorcycle,1,449.675,4.0
ch01_00000000024000000.mp4,14092,car,2,450.025,40.0
ch01_00000000024000000.mp4,14121,car,2,450.525,40.0
ch01_00000000024000000.mp4,14161,car,2,451.575,51.4
ch01_00000000024000000.mp4,14174,motorcycle,1,451.625,45.0
ch01_00000000024000000.mp4,14183,motorcycle,1,452.175,45.0
ch01_00000000024000000.mp4,14218,motorcycle,1,453.325,60.0
ch01_00000000024000000.mp4,14233,motorcycle,1,453.325,45.0
ch01_00000000024000000.mp4,14228,car,2,453.775,45.0
ch01_00000000024000000.mp4,14361,motorcycle,1,458.225,51.4
ch01_00000000024000000.mp4,14362,truck,6,458.375,45.0
ch01_00000000024000000.mp4,14389,motorcycle,1,458.875,51.4
ch01_00000000024000000.mp4,14465,car,3,461.625,36.0
ch01_00000000024000000.mp4,14537,motorcycle,1,463.424,36.0
ch01_00000000024000000.mp4,14563,motorcycle,1,463.474,51.4
ch01_00000000024000000.mp4,14575,car,2,463.874,51.4
ch01_00000000024000000.mp4,14618,car,2,465.024,45.0
ch01_00000000024000000.mp4,14653,motorcycle,1,466.574,51.4
ch01_00000000024000000.mp4,14689,motorcycle,1,467.874,45.0
ch01_00000000024000000.mp4,14696,motorcycle,1,468.324,51.4
ch01_00000000024000000.mp4,14722,bus,5,469.324,51.4
ch01_00000000024000000.mp4,800237,motorcycle,1,469.924,30.0
ch01_00000000024000000.mp4,14923,car,2,475.074,60.0
ch01_00000000024000000.mp4,14951,car,2,475.874,60.0
ch01_00000000024000000.mp4,14996,motorcycle,1,477.174,51.4
ch01_00000000024000000.mp4,15012,car,2,477.574,51.4
ch01_00000000024000000.mp4,15049,motorcycle,1,479.423,45.0
ch01_00000000024000000.mp4,15107,motorcycle,1,480.173,60.0
ch01_00000000024000000.mp4,15071,car,3,480.274,51.4
ch01_00000000024000000.mp4,15103,car,2,480.724,72.0
ch01_00000000024000000.mp4,15202,car,3,485.173,45.0
