sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,110,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,419.2667,12578,0.7458,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
2,120,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,423.4,12702,0.5164,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
3,156,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,503.4667,15104,0.4259,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
4,201,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,584.4667,17534,0.3112,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
5,216,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,601.3667,18041,0.5647,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
6,259,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,opposite,687.1333,20614,0.8821,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
7,272,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,normal,700.0667,21002,0.5091,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
8,326,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,normal,767.8667,23036,0.3789,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
9,383,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,810.8667,24326,0.3129,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
10,389,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,opposite,830.3,24909,0.3913,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
11,397,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,846.1,25383,0.7405,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
12,418,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,873.6333,26209,0.8156,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
13,422,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,878.4333,26353,0.6772,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
14,446,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,912.2,27366,0.5592,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
15,484,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,990.2667,29708,0.5297,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
16,526,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,1065.4333,31963,0.745,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
17,546,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,1095.0333,32851,0.3644,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
18,563,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,1116.8,33504,0.8132,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
19,605,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,1204.7667,36143,0.6802,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
20,632,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,1227.4667,36824,0.6801,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
21,641,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,1233.4667,37004,0.7491,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
22,650,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,1239.0333,37171,0.4321,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
23,665,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,1252.2333,37567,0.5983,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
24,738,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1367.3333,41020,0.3432,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
25,739,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,1375.0333,41251,0.4296,5f8d6e5b-2f06-448c-ba65-c0e495d9c7a9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cd1d91c9-0a76-43ab-a252-bd178f9ea652,03.00 - 04.00.mp4,
