track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
6,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,66.5%,14.954,16.318,1.364,13.2
14,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.2%,36.0,36.909,0.909,19.8
16,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.6%,39.318,38.682,0.636,28.3
17,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.9%,40.273,39.682,0.591,30.5
18,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.9%,40.864,40.273,0.591,30.5
26,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.5%,45.955,45.273,0.682,26.4
33,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,64.8%,48.227,47.5,0.727,24.7
31,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.9%,48.591,47.864,0.727,24.7
36,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.5%,48.864,48.136,0.727,24.8
35,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.7%,48.909,48.273,0.636,28.3
40,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.7%,51.636,50.864,0.773,23.3
45,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.6%,55.955,55.182,0.773,23.3
47,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.5%,58.455,57.773,0.682,26.4
53,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.8%,78.136,77.546,0.591,30.5
54,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.4%,79.636,80.364,0.727,24.8
55,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.2%,80.591,81.182,0.591,30.5
62,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.7%,84.227,84.909,0.682,26.4
63,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.8%,85.591,86.454,0.864,20.8
76,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.7%,101.0,100.318,0.682,26.4
81,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.7%,115.0,116.0,1.0,18.0
88,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,60.8%,116.546,115.773,0.773,23.3
89,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.7%,128.273,127.727,0.545,33.0
91,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.2%,133.682,132.682,1.0,18.0
92,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.1%,138.909,138.0,0.909,19.8
93,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.6%,138.818,138.046,0.773,23.3
94,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.2%,139.773,138.773,1.0,18.0
97,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.8%,139.909,139.091,0.818,22.0
100,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.3%,141.364,140.591,0.773,23.3
108,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.3%,149.727,149.091,0.636,28.3
119,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.0%,164.136,164.954,0.818,22.0
136,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,73.3%,178.227,177.727,0.5,36.0
132,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.3%,178.954,178.136,0.818,22.0
121,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,52.7%,178.273,179.364,1.091,16.5
143,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.7%,181.0,180.136,0.864,20.8
144,Car / Sedan,2,Sedan / jeep / station wagon,normal,74.1%,181.546,182.318,0.773,23.3
149,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.8%,184.318,185.046,0.727,24.7
150,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,73.6%,187.546,186.318,1.227,14.7
155,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.8%,198.227,197.773,0.455,39.6
170,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.3%,204.636,203.954,0.682,26.4
172,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,91.4%,208.954,208.364,0.591,30.5
180,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,88.9%,217.591,217.0,0.591,30.5
188,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.3%,222.136,222.864,0.727,24.8
190,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.8%,223.364,222.591,0.773,23.3
192,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.4%,224.136,223.454,0.682,26.4
197,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,90.0%,225.682,225.046,0.636,28.3
202,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.0%,226.682,226.091,0.591,30.5
203,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,65.5%,229.409,228.5,0.909,19.8
206,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.8%,237.727,237.227,0.5,36.0
207,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.7%,242.318,243.046,0.727,24.7
213,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.1%,250.318,249.0,1.318,13.7
221,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,67.5%,270.5,271.136,0.636,28.3
227,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.5%,272.5,272.0,0.5,36.0
228,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.3%,275.454,276.182,0.727,24.7
229,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.6%,276.273,275.546,0.727,24.8
225,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.5%,276.136,277.954,1.818,9.9
230,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.3%,286.273,287.046,0.773,23.3
231,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.6%,297.091,296.546,0.545,33.0
242,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.8%,310.818,310.273,0.546,33.0
246,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,78.4%,315.682,314.954,0.727,24.7
247,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,88.8%,316.773,316.182,0.591,30.5
250,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.0%,320.818,320.091,0.727,24.7
251,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.5%,322.864,322.136,0.727,24.8
252,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.9%,326.136,325.682,0.455,39.6
254,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.9%,328.773,328.136,0.636,28.3
255,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,91.7%,330.636,329.818,0.818,22.0
265,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.7%,336.318,335.636,0.682,26.4
